제품명,가격
PNC PARTNER EVEREST N 900W V3.0,"86,910"
FSP FSP500-50FDB,"178,000"
PNC PARTNER EVEREST N 900W V3.0 벌크,"85,820"
성주컴텍 SJ-N1600 벌크,"135,210"
Antec NeoECO 750W 80PLUS GOLD 풀모듈러,"132,600"
Segotep GM1250W GOLD 풀모듈러 ATX 3.1 (PCIE5.1) 화이트,"161,530"
(잘만) ZM1000-ARX 80PLUS PLATINUM /파워,"216,760"
AONE STORM 500LF 83+ 벌크,"32,650"
Segotep GM1250W GOLD 풀모듈러 ATX 3.1 (PCIE5.1) 블랙,"147,410"
(잘만) ZM750-ARX 80PLUS PLATINUM /파워,"179,000"
AONE STORM 500W 80PLUS BRONZE 벌크,"35,300"
Segotep GM1000W GOLD 풀모듈러 ATX 3.1 (PCIE5.1) 화이트,"157,870"
쿨러마스터 M2000 80plus PLATINUM 230V 풀모듈러,"589,800"
시소닉 SSP-300SUB 에즈윈아이피씨,"87,000"
(잘만) ZM850-ARX 80PLUS PLATINUM /파워,"183,100"
에너지옵티머스 EXCEL FOCUS 1000W 80PLUS GOLD FULL MODULAR ATX 3.0,"119,080"
AONE STORM 700LF 83 PLUS,"45,760"
AONE STORM 500W 80PLUS BRONZE,"36,400"
Segotep GM1000W GOLD 풀모듈러 ATX 3.1 (PCIE5.1) 블랙,"143,750"
GIGABYTE P650B 80PLUS BRONZE 피씨디렉트,"60,850"
ZM1200-ARX 80PLUS PLATINUM,"245,110"
마이크로닉스 WIZMAX 750W 80PLUS SILVER ATX3.0 (PCIE5),"83,000"
Segotep GM850W GOLD 풀모듈러 ATX 3.1 (PCIE5.1) 화이트,"120,230"
스카이디지탈 파워스테이션5 PS5-500N,"35,360"
커세어 CORSAIR RM1000x SHIFT 80PLUS Gold ATX 3.0 (PCIE5),"301,600"
마이크로닉스 WIZMAX 850W 80PLUS SILVER ATX3.0 (PCIE5),"102,000"
Segotep GM850W GOLD 풀모듈러 ATX 3.1 (PCIE5.1) 블랙,"106,120"
+0asis Cool 700GP V2.3 벌크,"30,060"
ASUS ROG STRIX THOR 1000P2,"458,140"
커세어 CORSAIR RM1000e ATX 3.0 (PCIE5),"245,400"
Segotep GM750W GOLD 풀모듈러 ATX 3.1 (PCIE5.1) 화이트,"110,820"
커세어 CORSAIR RM850e ATX 3.0 (PCIE5),"170,410"
잘만 MegaMax 700W 80Plus Standard 230V EU,"60,840"
Segotep GM750W GOLD 풀모듈러 ATX 3.1 (PCIE5.1) 블랙,"96,710"
시소닉 FOCUS SFX-L SSR-500SGX Gold Full Modular,"134,870"
커세어 CORSAIR RM750e ATX 3.0 (PCIE5),"160,170"
(잘만) WATTTERA 700W 80PLUS GOLD,"128,700"
잘만 TeraMax 750W 80PLUS Gold Full Modular,"126,800"
잘만 WATTTERA 1200W 80PLUS GOLD,"203,500"
FSP HYDRO PRO 700W 80PLUS Bronze 230V EU ATX3.0(Gen5),"79,000"
잘만 WATTTERA 1000W 80PLUS GOLD,"178,890"
FSP HYDRO PRO 800W 80PLUS Bronze 230V EU ATX3.0(Gen5),"92,000"
잘만 MegaMax 500W 80Plus Standard 230V EU,"46,800"
ASUS PRIME 750W Gold 대원씨티에스,"136,770"
아이구주 500EL v2,"40,560"
잘만 Wattbit II 500W 83+,"37,710"
TAGER JN500W GAMING 벌크,"30,160"
DARKFLASH UPMOST 1250W 80PLUS GOLD FULL MODULAR ATX3.0 (PCIE5) (화이트),"195,000"
SuperFlower SF-1000F14PE LEADEX VI PRO PLATINUM BLACK (PCIE 5),"206,900"
DARKFLASH UPMOST 1250W 80PLUS GOLD FULL MODULAR ATX3.0 (PCIE5) (블랙),"189,300"
AONE STORM 600LF 83+,"39,000"
잘만 GigaMax III 850W 80Plus Bronze 모듈러 ATX3.1 (PCIE5.1),"89,810"
쿨러마스터 PLATINUM V1000 FULL MODULAR,"327,610"
