제품명,가격
(도시바) 3TB DT01ABA300V SATA3/5940/64M /HDD,"102,960"
"Toshiba N300 7200/256M (HDWG480, 8TB)","314,090"
"Western Digital WD RED Pro 7200/64M (WD2002FFSX, 2TB)","171,250"
Sebap 세바프 BUSCAR CCTV HDD SVP1300RS (3TB),"76,340"
Sebap 세바프 BUSCAR CCTV HDD SVP1400RS (4TB),"105,560"
"Toshiba MG09ACA Enterprise 7200/512M (MG09ACA18TE, 18TB)","620,900"
"Toshiba MG07ACA Enterprise 7200/256M (MG07ACA12T, 12TB)","407,390"
"Toshiba MG08ACA Enterprise 7200/512M (MG08ACA16T, 16TB)","582,420"
Seagate 4TB IronWolf Pro ST4000NE001 (SATA3/7200/128M),"252,210"
"Western Digital WD RED Plus 5400/64M (WD20EFPX, 2TB)","133,130"
Seagate 12TB IronWolf ST12000VN0008 (SATA3/7200/256M),"412,000"
Seagate 8TB IronWolf ST8000VN004 (SATA3/7200/256M),"291,100"
"Western Digital WD RED Pro 7200/512M (WD161KFGX, 16TB)","591,780"
"Seagate Exos X18 7200/256M (ST18000NM000J, 18TB)","750,420"
"Western Digital Ultrastar DC HC320 7200/256M/리퍼비시 (HUS728T8TALE6L4, 8TB)","197,610"
도시바 MG07SCA Enterprise MG07SCA12T 병행수입,"279,650"
"Toshiba X300 Refresh 7200/256M (HDWR460, 6TB)","221,650"
Western Digital 2TB Ultrastar DC HA210 HUS722T2TALA604 (SATA3/7200/128M),"173,820"
"Seagate IronWolf Pro 7200/256M (ST10000NE000, 10TB)","513,780"
"Western Digital WD BLUE 5400/256M (WD30EZAZ, 3TB)","116,240"
"Seagate IronWolf 7200/256M (ST10000VN000, 10TB)","391,090"
"Toshiba X300 Refresh 7200/256M (HDWR440, 4TB)","161,500"
"Seagate IronWolf Pro 7200/256M (ST2000NT001, 2TB)","180,780"
"Toshiba X300 Refresh 7200/256M (HDWR480, 8TB)","267,300"
"Western Digital WD BLUE 5640/256M (WD80EAAZ, 8TB)","182,010"
"Seagate IronWolf Pro 7200/256M (ST10000NT001, 10TB)","512,710"
"Western Digital WD RED Pro 7200/512M (WD181KFGX, 18TB)","689,150"
"Seagate IronWolf Pro 7200/256M (ST12000NT001, 12TB)","535,580"
"Seagate IronWolf Pro 7200/256M (ST16000NT001, 16TB)","652,830"
"Seagate IronWolf Pro 7200/256M (ST18000NT001, 18TB)","697,460"
"Seagate IronWolf Pro 7200/256M (ST20000NT001, 20TB)","779,450"
"Seagate IronWolf Pro 7200/256M (ST6000NT001, 6TB)","331,080"
"Toshiba P300 7200/256M (HDWD320, 2TB)","77,690"
