제품명,가격
GIGABYTE 지포스 RTX 4060 Ti EAGLE OC D6 8GB 제이씨현,"589,700"
GIGABYTE 지포스 RTX 4070 Ti SUPER EAGLE OC ICE D6X 16GB 제이씨현,"1,290,060"
ASUS TUF Gaming 지포스 RTX 4080 O16G OC D6X 16GB,"1,777,060"
ASUS TUF Gaming 라데온 RX 7900 XTX O24G OC D6 24GB 대원씨티에스,"1,507,280"
INNO3D 지포스 RTX 4060 Ti D6 8GB Twin X2,"548,400"
GIGABYTE 지포스 RTX 3050 UD2 OC D6 6GB Nano LP 제이씨현,"278,730"
ASUS DUAL 지포스 RTX 3060 O8G OC D6 8GB White,"401,960"
INNO3D 지포스 RTX 4060 Ti OC D6 8GB Twin X2,"550,700"
ASUS ProArt 지포스 RTX 4060 O8G OC D6 8GB,"498,200"
XFX 라데온 RX 6400 SWFT 105 D6 4GB,"175,700"
이엠텍 지포스 RTX 4090 GAMEROCK D6X 24GB,"2,840,000"
FORSA 지포스 GTX 1660 SUPER X D6 6GB,"239,620"
inno3D 지포스 RTX 4060 Ti OC D6 8GB Twin X2 WHITE,"556,400"
이도디스플레이 지포스 GTX 1650 RAGE-X D6 4GB,"186,000"
AFOX 지포스 G210 D3 512MB 대원씨티에스,"21,620"
AFOX 지포스 RTX 3060 D6 12GB 대원씨티에스,"359,860"
ASUS TUF Gaming 지포스 RTX 4070 SUPER D6X 12GB,"1,039,630"
GIGABYTE 지포스 RTX 4090 Gaming OC D6X 24GB 제이씨현,"2,953,670"
FORSA 지포스 G210 D3 512MB,"27,850"
(갤럭시) GALAX 지포스 GTX 1650 BLACK EX D6 4GB,"225,420"
NVIDIA RTX 6000 Ada Generation D6 48GB 엔비디아코리아 정품,"11,900,000"
GIGABYTE 지포스 RTX 3070 Gaming OC D6 8GB 제이씨현,"743,130"
AFOX 지포스 RTX 3080 D6X 10GB 대원씨티에스,"718,480"
이엠텍 지포스 RTX 3050 MIRACLE WHITE D6 6GB,"269,000"
갤럭시 BOY 지포스 RTX 4080 SUPER 3X D6X 16GB,"1,677,100"
GIGABYTE AORUS 지포스 RTX 4090 Master D6X 24GB 제이씨현,"3,066,700"
AFOX 지포스 RTX 3080 Ti D6X 12GB 대원씨티에스,"993,310"
AFOX 라데온 RX 580 2048SP D5 8GB 대원씨티에스,"130,010"
AFOX 지포스 GTX750 Ti H3 D5 2GB,"145,870"
ASRock 라데온 RX 7800 XT 스틸레전드 OC D6 16GB 대원씨티에스,"724,900"
GIGABYTE 지포스 RTX 4090 Gaming OC D6X 24GB 피씨디렉트,"2,984,000"
Colorful iGame 지포스 RTX 4060 Ti ULTRA OC D6 8GB White,"621,900"
ASRock 라데온 RX 7600 XT 스틸레전드 OC D6 16GB 대원씨티에스,"525,200"
TAGER 지포스 RTX 3050 D6 6GB ONE COOL,"261,450"
GIGABYTE AORUS 지포스 RTX 4090 Master D6X 24GB 피씨디렉트,"3,088,000"
(갤럭시) GALAX 지포스 GTX 1650 D6 4GB LP,"240,170"
Colorful iGame 지포스 RTX 4060 Ti ULTRA DUO OC D6 8GB White,"594,900"
ASRock 라데온 RX 7600 XT CHALLENGER OC D6 16GB 대원씨티에스,"492,900"
Colorful 지포스 GTX 1650 토마호크 EX D6 4GB,"196,300"
이도디스플레이 지포스 GTX 1660 Ti RAGE-X D6 6GB Dual,"254,800"
ASUS TUF Gaming 지포스 RTX 4090 O24G OC D6X 24GB,"3,260,300"
ASUS 지포스 GT710 SL EVO D3 2GB,"46,320"
TAGER 지포스 GTX 1650 D6 4GB,"192,490"
Colorful 지포스 RTX 4060 Ti 토마호크 DUO D6 8GB,"568,800"
갤럭시 GALAX 지포스 RTX 4070 Ti EX GAMER BLACK OC V2 D6X 12GB,"1,201,200"
ASUS ROG STRIX 지포스 RTX 4090 O24G GAMING OC D6X 24GB,"3,363,110"
MSI 지포스 RTX 4080 SUPER 벤투스 3X OC D6X 16GB,"1,595,000"
MSI 지포스 RTX 4080 SUPER 게이밍 X 슬림 D6X 16GB 트라이프로져3,"1,639,000"
PowerColor 라데온 RX 7800 XT Red Devil D6 16GB 대원씨티에스,"752,900"
ASUS DUAL 라데온 RX 7600 XT O16G OC D6 16GB,"488,800"
SAPPHIRE 라데온 RX 7900 GRE PURE D6 16GB,"849,100"
ASUS DUAL 지포스 RTX 4060 V2 O8G OC D6 8GB (벌크),"426,400"
ASUS TUF Gaming 라데온 RX 7600 XT O16G D6 16GB,"525,200"
GIGABYTE 지포스 RTX 3050 EAGLE OC D6 6GB 제이씨현,"272,400"
MANLi 지포스 RTX 4070 Ti SUPER Polar Fox D6X 16GB White 대원씨티에스,"1,243,800"
갤럭시 GALAX 지포스 GTX 1650 BLACK EX PLUS OC D6 4GB,"204,900"
갤럭시 BOY 지포스 RTX 4060 Ti EX OC D6 8GB,"579,400"
MSI 지포스 RTX 4060 에어로 ITX OC D6 8GB,"422,000"
GIGABYTE 라데온 RX 7600 XT GAMING OC D6 16GB 제이씨현,"431,600"
ASRock 라데온 RX 7900 XTX Phantom Gaming OC D6 24GB 대원씨티에스,"1,483,100"
MANLi 지포스 RTX 3060 Rush D6 12GB,"406,230"
NVIDIA RTX A6000 D6 48GB 엔비디아코리아 정품,"6,949,940"
ZOTAC GAMING 지포스 RTX 4080 SUPER Trinity OC D6X 16GB White,"1,593,100"
PNY 지포스 RTX 4080 SUPER VERTO OC D6X 16GB TF 제이씨현,"1,553,800"
Colorful 지포스 RTX 3060 토마호크 DUO D6 8GB,"373,300"
갤럭시 BOY 지포스 RTX 4060 EX OC D6 8GB,"454,500"
ZOTAC GAMING 지포스 RTX 4080 SUPER AMP EXTREME AIRO D6X 16GB,"1,629,010"
갤럭시 갤라즈 BOY 지포스 RTX 3060 D6 8GB,"335,350"
Colorful 지포스 RTX 3060 Ti 토마호크 DUO D6X 8GB,"549,870"
ZOTAC GAMING 지포스 RTX 4080 SUPER Trinity D6X 16GB Black,"1,568,310"
ZOTAC 지포스 RTX 3050 TWIN Edge OC D6 8GB,"420,490"
갤럭시 갤라즈 BOY 지포스 GTX 1650 EX D6 4GB,"219,450"
갤럭시 BOY 지포스 RTX 4060 2X OC V2 D6 8GB,"433,700"
AFOX 지포스 G210 D3 512MB LP 디앤디컴,"21,620"
PNY 지포스 RTX 3070 UPRISING D6 8GB Dual,"932,690"
갤럭시 GALAX 지포스 RTX 4060 2X OC V2 D6 8GB,"431,450"
AFOX 지포스 GT730 D3 2GB LP 무소음 디앤디컴,"55,070"
갤럭시 BOY 지포스 RTX 4080 SUPER ST D6X 16GB,"1,636,640"
GIGABYTE AORUS 라데온 RX 6900 XT Xtreme 워터블럭 D6 16GB 피씨디렉트,"832,900"
SPARKLE Arc A750 TITAN OC D6 8GB,"346,690"
갤럭시 GALAX 지포스 RTX 4080 SUPER SG OC D6X 16GB,"1,695,320"
갤럭시 GALAX 지포스 RTX 4080 SUPER ST D6X 16GB,"1,640,300"
SAPPHIRE 라데온 RX 7900 XTX NITRO+ Vapor-X OC D6 24GB,"1,566,670"
갤럭시 GALAX 지포스 RTX 4070 EX GAMER PINK OC D6X 12GB,"849,200"
SAPPHIRE 라데온 RX 7700 XT PURE OC D6 12GB,"672,000"
