제품명,가격
ASRock B760M PG Riptide D5 에즈윈,"168,100"
ASUS PRIME B760M-A 코잇,"163,500"
GIGABYTE H610M H 듀러블에디션 피씨디렉트,"111,000"
ASUS PRIME A320M-K (iBORA),"70,060"
ASRock B550M PRO4 디앤디컴,"132,500"
MSI A320M-A PRO,"78,620"
Biostar B760MZ-E PRO 이엠텍,"138,450"
MSI PRO B760M-P DDR4,"128,670"
ASUS P12R-E STCOM,"538,340"
ASRock X570 Phantom Gaming 4 대원씨티에스,"145,030"
GIGABYTE B450M K 피씨디렉트,"68,940"
ASUS Z13PE-D16 코잇,"1,686,620"
ASRock WRX90 WS EVO 대원씨티에스,"1,712,030"
GIGABYTE B760M AORUS ELITE AX 제이씨현,"210,000"
MSI PRO B760M-A WIFI,"171,500"
ASRock A620M-HDV/M.2+ 에즈윈,"128,400"
Supermicro X12SPA-TF (STCOM),"1,308,290"
MSI MAG B760M 박격포 맥스 WIFI,"211,010"
GIGABYTE A620M GAMING X 피씨디렉트,"164,990"
ASRock B550M Phantom Gaming 4 디앤디컴,"107,000"
ASUS PRIME B760M-KS 코잇 (벌크),"145,200"
Colorful BATTLE-AX B760M-K V20 D5 STCOM,"121,460"
ASRock B550M Phantom Gaming 4 에즈윈,"109,700"
Supermicro X13DAI-T (STCOM),"1,897,070"
GIGABYTE Z790 AORUS ELITE X THORNE AND LIBERTY EDITION 피씨디렉트,"376,220"
ASUS PRO WS WRX90E-SAGE SE 대원씨티에스,"1,869,680"
ASRock B550M-ITX/ac 디앤디컴,"217,000"
MSI MAG B760 토마호크 WIFI DDR4,"229,540"
Supermicro X12DPi-N6 STCOM,"1,410,720"
MSI MAG B660 토마호크 WIFI DDR4,"270,620"
Supermicro X12DPi-NT6 STCOM,"1,567,680"
ASRock B760M 스틸레전드 WiFi D5 디앤디컴,"216,300"
ASUS TUF Gaming B760-PLUS WIFI 인텍앤컴퍼니,"287,150"
ASRock A520M-HDV 디앤디컴,"73,080"
ASRock B760M PG Riptide D5 디앤디컴,"167,500"
GIGABYTE B760M GAMING D4 피씨디렉트,"137,000"
ASRock A520M-HVS 디앤디컴,"71,000"
ASRock A520M-ITX/ac 디앤디컴,"168,810"
ASRock H610M-HDV/M.2 R2.0 D4 에즈윈,"95,210"
GIGABYTE H610M H V2 D4 피씨디렉트,"93,930"
ASRock A520M-HVS 에즈윈,"73,100"
ASRock H610M-HDV/M.2 R2.0 D4 에즈윈 벌크,"89,370"
GIGABYTE X670E AORUS XTREME 피씨디렉트,"1,013,980"
Supermicro X13SAZ-Q (STCOM),"702,010"
ASUS WS X299 PRO STCOM,"552,550"
ASRock A520M-HDV 에즈윈,"73,300"
ASRock H610M-HVS/M.2 R2.0 D4 에즈윈,"97,900"
GIGABYTE X670E AORUS MASTER 피씨디렉트,"670,800"
ASRock B760M PG SONIC WiFi D5 디앤디컴,"211,100"
Supermicro X13SAQ (STCOM),"663,920"
ASUS PRO WS W790-ACE STCOM,"1,305,720"
ASRock H610M-HVS/M.2 R2.0 D4 에즈윈 벌크,"89,550"
ASRock B760 Pro RS D5 디앤디컴,"224,900"
Supermicro X13SAE-F (STCOM),"759,650"
ASUS PRO WS W790E-SAGE SE STCOM,"1,899,610"
GIGABYTE B760 AORUS MASTER D4 피씨디렉트,"287,000"
GIGABYTE A620M S2H 제이씨현,"120,000"
ASUS ROG STRIX B650E-F GAMING WIFI STCOM,"367,100"
GIGABYTE B760M DS3H D4 피씨디렉트,"137,000"
ASRock Z790 LiveMixer D5 디앤디컴,"390,000"
GIGABYTE B760M AORUS ELITE D4 피씨디렉트,"173,860"
ASUS PRO WS WRX90E-SAGE SE 코잇,"1,912,770"
ASRock B560M 스틸레전드 디앤디컴,"117,680"
ASRock Z790M-ITX WiFi D5 디앤디컴,"373,500"
GIGABYTE B760M AORUS ELITE AX 피씨디렉트,"209,760"
MSI PRO A620M-C EX,"132,500"
ASUS ROG MAXIMUS XIII EXTREME GLACIAL 코잇,"1,132,270"
GIGABYTE B760M AORUS ELITE 피씨디렉트,"190,840"
GIGABYTE B760M GAMING X D4 피씨디렉트,"180,340"
ASUS PRIME Z790M-PLUS-CSM 인텍앤컴퍼니,"294,390"
ECS DURATHON2 B660H7-M22 코잇,"96,760"
ASRock Z790 Taichi D5 대원씨티에스,"808,730"
ASRock B450M-HDV R4.0 대원씨티에스,"68,050"
GIGABYTE B650E AORUS ELITE X AX ICE 제이씨현,"348,400"
ASRock Z790 PG Lightning D5 대원씨티에스,"296,400"
GIGABYTE B760M DS3H D4 제이씨현,"138,500"
ASRock B760M-HDV/M.2 D5 대원씨티에스,"141,400"
GIGABYTE Z790 AORUS ELITE X WIFI7 피씨디렉트,"421,000"
GIGABYTE B760M AORUS ELITE D4 제이씨현,"167,600"
ASRock H610M-HDV/M.2+ D5 대원씨티에스,"105,500"
ASRock B650 PG Lightning 에즈윈,"300,000"
GIGABYTE B760M AORUS ELITE 제이씨현,"190,430"
Colorful CH510M-K M.2 V20 STCOM,"86,460"
GIGABYTE Z790 AORUS MASTER X 피씨디렉트,"807,000"
GIGABYTE B650M D3HP 제이씨현,"156,000"
GIGABYTE H510M H V2 제이씨현,"92,600"
ASRock N100M 디앤디컴,"180,000"
GIGABYTE Z790 AORUS XTREME X 피씨디렉트,"1,485,000"
ASUS TUF Gaming B550-PRO 대원CTS,"204,630"
ASUS Pro H610T/CSM D4 (아이보라) (벌크) (기본),"153,930"
ASRock Z790 스틸레전드 WiFi D5 대원씨티에스,"390,300"
GIGABYTE Z790 GAMING X 제이씨현,"368,340"
ASUS ProArt Z790-CREATOR WIFI STCOM,"762,790"
ASRock X670E Pro RS 디앤디컴,"509,600"
GIGABYTE Z790 AORUS ELITE 피씨디렉트,"339,400"
GIGABYTE H610M K D4 피씨디렉트,"83,200"
ASRock B760 Pro RS (대원씨티에스),"229,700"
ASUS H81M-K 벌크,"124,930"
ASRock B550M Pro RS 디앤디컴,"124,800"
Colorful BATTLE-AX B760M-PLUS V20 D5 STCOM,"160,500"
GIGABYTE H610M H 듀러블에디션 제이씨현,"111,170"
ASUS P9D-MH/10G-DUAL STCOM,"507,000"
GIGABYTE Z790 AORUS PRO X 제이씨현,"477,610"
ASUS ProArt B760-CREATOR D4 STCOM,"387,010"
GIGABYTE H610M S2H 듀러블에디션 제이씨현,"117,340"
GIGABYTE Z790 AORUS ELITE X 제이씨현,"375,700"
GIGABYTE Z790 AORUS ELITE X WIFI7 제이씨현,"419,970"
Biostar B650MP-E PRO 이엠텍,"138,450"
ASUS ROG STRIX B650E-E GAMING WIFI 대원씨티에스,"475,900"
ASRock B760M PG Riptide D5 + WiFi6E 모듈 패키지 디앤디컴,"198,500"
ASRock B760M Pro RS D5 + WiFi6E 모듈 패키지 디앤디컴,"196,200"
ASRock Z790 PG Lightning D5 + WiFi6E 모듈 패키지 에즈윈,"297,000"
ASUS ROG MAXIMUS Z690 EXTREME GLACIAL (아이보라),"2,936,400"
ASRock B550M Phantom Gaming 4 대원씨티에스,"110,650"
GIGABYTE B760M AORUS ELITE X AX 제이씨현,"229,700"
ASRock B760M PG LIGHTNING/D4 에즈윈,"138,000"
ASRock B650M-HDV/M.2 에즈윈,"166,900"
ASUS ROG STRIX Z790-A GAMING WIFI STCOM,"557,310"
MSI PRO Z690-A DDR4,"251,690"
ASUS PRIME Z790M-PLUS-CSM STCOM,"326,980"
ASUS P12R-I STCOM,"380,000"
ASRock B650M PG Lightning 디앤디컴,"158,000"
ASUS ProArt B760-CREATOR D4 대원씨티에스,"292,200"
GIGABYTE X670E AORUS PRO X 피씨디렉트,"410,800"
ASRock H610M-HVS/M.2 R2.0 D4 디앤디컴,"89,500"
ASUS WS C422 SAGE/10G STCOM,"1,232,010"
Biostar B760MX2-E D5 이엠텍,"122,490"
GIGABYTE B650M AORUS ELITE AX ICE 제이씨현,"259,010"
Colorful BATTLE-AX A520M-K M.2 V14 STCOM,"64,850"
ASRock Z790 Nova WIFI 대원씨티에스,"503,350"
ASRock B760M Pro-A + WiFi6E 모듈 패키지 에즈윈,"180,000"
ASRock H610M-HDV/M.2 R2.0 D4 디앤디컴,"92,400"
ASRock WRX80 Creator 대원씨티에스,"1,101,390"
ASRock B760M PG LIGHTNING/D4 대원씨티에스,"136,300"
