제품명,가격
TeamGroup T-CREATE DDR5-6400 CL34 EXPERT 패키지 서린 (64GB(32Gx2)),"338,500"
CORSAIR DDR5-6400 CL32 Dominator Titanium BLACK 패키지 (96GB(48Gx2)),"757,100"
ESSENCORE KLEVV DDR5-6800 CL34 BOLT V 패키지 서린 (32GB(16Gx2)),"176,080"
imation DDR4 8GB PC4-21300 CL19,"24,700"
TeamGroup T-CREATE DDR5-6000 CL48 CLASSIC 패키지 서린 (32GB(16x2)),"144,820"
ESSENCORE KLEVV DDR5-8000 CL38 CRAS XR5 RGB 패키지 서린 (32GB(16Gx2)),"373,500"
이메이션 DDR4 8G PC4-25600 CL22,"24,400"
TeamGroup T-CREATE DDR5-6000 CL38 EXPERT 패키지 서린 (32GB(16Gx2)),"152,780"
ESSENCORE KLEVV DDR5-7600 CL36 CRAS V RGB 패키지 서린 (32GB(16Gx2)),"253,500"
커세어 CORSAIR DDR5-5200 CL40 도미네이터 플래티넘 RGB 블랙 32Gx2 A6,"624,000"
이메이션 노트북 DDR4 8G PC4-25600 CL22,"24,700"
TeamGroup T-CREATE DDR5-6000 CL34 EXPERT 패키지 서린 (64GB(32Gx2)),"319,000"
(타무즈) DDR4 8G PC4-17000 CL15 /RAM,"22,130"
TeamGroup T-CREATE DDR5-5600 CL46 CLASSIC 패키지 서린 (32GB(16Gx2)),"139,260"
PATRIOT DDR5-4800 CL40 SIGNATURE (8GB),"34,400"
PATRIOT DDR5-4800 CL40 SIGNATURE (16GB),"63,100"
TeamGroup T-Force DDR4-3200 CL16 XTREEM ARGB 화이트 패키지 서린 (64GB(32Gx2)),"285,000"
G.SKILL DDR4 16G PC4-25600 CL16 TRIDENT Z ROYAL 실버 (8Gx2),"118,040"
패트리어트 PATRIOT DDR5-4800 CL40 SIGNATURE (32GB),"116,000"
삼성전자 DDR4-2666 중고 (32GB) PC4-21300,"114,400"
G.SKILL DDR4 16G PC4-28800 CL18 TRIDENT Z ROYAL 실버 (8Gx2),"119,920"
커세어 CORSAIR DDR5-5200 CL38 VENGEANCE 192GB(48Gx4),"1,221,000"
T-Force DDR4 16G PC4-25600 CL16 Delta RGB(8x2),"63,880"
ADATA XPG DDR4-3600 CL18 SPECTRIX D35G RGB 화이트 패키지 (32GB(16Gx2)),"111,200"
TeamGroup T-Force DDR4 16G PC4-25600 CL16 Delta RGB 화이트 (8Gx2),"63,880"
ADATA XPG DDR4-3200 CL16 SPECTRIX D35G RGB 화이트 패키지 (32GB(16Gx2)),"101,900"
G.SKILL DDR5-6000 CL30 TRIDENT Z5 J 실버 패키지 (32GB(16Gx2)),"177,950"
G.SKILL DDR4 16G PC4-25600 CL16 TRIDENT Z ROYAL 골드 (8Gx2),"118,040"
G.SKILL DDR5-6000 CL30 TRIDENT Z5 J 패키지 (64GB(32Gx2)),"326,890"
G.SKILL DDR4 16G PC4-25600 CL14 TRIDENT Z ROYAL 골드 (8Gx2),"173,170"
삼성전자 DDR3-1600 8G 정품 PC3-12800,"14,200"
G.SKILL DDR5-5600 CL30 TRIDENT Z5 RGB J 실버 패키지 (32GB(16Gx2)),"177,950"
G.SKILL DDR4 16G PC4-28800 CL18 TRIDENT Z ROYAL 골드 (8Gx2),"119,920"
v-color Manta DDR5-6400 CL32 XPrism RGB 블랙 패키지 (96GB(48Gx2)),"525,180"
(삼성전자) DDR3-1600 8G 정품 14년도주차 PC3-12800,"14,050"
[중고] 삼성전자 DDR3 8G PC3-1600,"14,200"
삼성전자 DDR4-2666 (16GB) PC4-21300 (19/20년도 새제품),"83,380"
마이크론 Crucial DDR5-4800 CL40 (32GB),"115,160"
ADATA XPG DDR4-3600 CL18 SPECTRIX D35G RGB 화이트 패키지 (16GB(8Gx2)),"60,700"
삼성전자 DDR3-1333 8G 정품 PC3-10600,"22,910"
커세어 CORSAIR DDR4-3600 CL18 도미네이터 플래티넘 RGB BLACK 패키지 8Gx2 (B3),"240,390"
ADATA XPG DDR4-3200 CL16 SPECTRIX D35G RGB 화이트 패키지 (16GB(8Gx2)),"56,610"
(타무즈) DDR3 8G PC3-12800 CL11 /RAM,"19,030"
TeamGroup T-Force DDR5-7600 CL36 Delta RGB 화이트 패키지 (32GB(16Gx2)),"280,500"
커세어 CORSAIR DDR4 16G PC4-24000 CL15 Dominator Platinum RGB (8Gx2),"181,160"
CORSAIR DDR4-3200 CL16 도미네이터 플래티넘 RGB BLACK 패키지 8Gx2 (B10),"206,820"
G.SKILL DDR4 32G PC4-25600 CL16 TRIDENT Z RGB 8Gx4 /RAM,"163,400"
PATRIOT DDR4-3200 CL16 VIPER STEEL 패키지 (32GB(16Gx2)),"97,500"
삼성전자 DDR4-2666 (32GB) PC4-21300,"115,600"
커세어 CORSAIR DDR5-5200 CL40 VENGEANCE RGB WHITE 패키지 (32GB(16Gx2)) C8,"244,400"
PATRIOT DDR4-3200 CL16 VIPER STEEL 패키지 (64GB(32Gx2)),"186,500"
삼성전자 DDR4-3200 (32GB) PC4-25600,"91,680"
PATRIOT DDR4-3600 CL18 VIPER STEEL 패키지 (32GB(16Gx2)),"95,600"
삼성전자 노트북 DDR5-4800 병행수입 (8GB) PC5-38400,"26,890"
PATRIOT DDR4-3600 CL18 VIPER STEEL 패키지 (64GB(32Gx2)),"196,100"
TeamGroup DDR5-4800 CL40 Elite 서린 (16GB),"65,200"
"ADATA XPG DDR5-6000 CL30 CASTER 패키지 (32GB(16Gx2))
하이닉스 A다이 언락 제품!","175,900"
D4 16G PC4-25600 CL16 Delta RGB 블랙 (8Gx2) 서린,"65,730"
TeamGroup DDR5-4800 CL40 Elite 서린 (32GB),"120,790"
TeamGroup T-CREATE DDR4-3600 CL18 EXPERT OC10L 패키지 서린 (32GB(16Gx2)),"94,750"
D4 16G PC4-25600 CL16 Delta RGB 화이트 (8Gx2) 서린,"65,730"
PATRIOT DDR4-3200 CL16 VIPER STEEL 패키지 (16GB(8Gx2)),"51,500"
CORSAIR DDR5-6000 CL30 Dominator Titanium BLACK 패키지 (64GB(32Gx2)),"473,200"
TeamGroup T-CREATE DDR4-3600 CL18 EXPERT OC10L 패키지 서린 (64GB(32Gx2)),"201,140"
커세어 노트북 메모리 DDR5-4800 CL40 벤저스 32Gx2 (64G) N2,"743,630"
커세어 CORSAIR DDR5-5600 CL40 VENGEANCE BLACK 패키지 (96GB(48Gx2)),"482,500"
D4 16G PC4-25600 CL16 Delta RGB TUF (8Gx2) 서린,"67,710"
ADATA DDR5-5600 CL46-45-45 (32GB),"115,800"
커세어 CORSAIR 노트북 메모리 DDR5-4800 CL40 벤저스 16Gx2 (32G) N1,"385,860"
커세어 CORSAIR DDR5-5600 CL40 VENGEANCE BLACK 패키지 (48GB(24Gx2)),"192,500"
ADATA DDR5-5600 CL46-45-45 (16GB),"62,500"
GeIL DDR4-3200 CL22 ORION RGB Gray (8GB),"29,010"
TeamGroup T-Force DDR5-6400 CL40 DELTA RGB 패키지 (32GB(16Gx2)) 서린,"173,170"
PATRIOT DDR4-3600 CL18 VIPER STEEL (8GB),"27,600"
TeamGroup T-Force DDR4-3200 CL20 ZEUS (8GB),"24,440"
ESSENCORE KLEVV DDR3-1866 CL9 NEO 패키지 (8GB(4Gx2)),"51,800"
PNY XLR8 DDR4-3600 Gaming EPIC-X RGB 실버 패키지 마이크로닉스 (16GB(8Gx2)),"75,500"
GeIL DDR4 4G PC4-21300 CL19 PRISTINE,"13,730"
PNY XLR8 DDR5-6200 CL42 MAKO (16GB),"76,880"
TeamGroup T-CREATE DDR4-3600 CL18 EXPERT OC10L 패키지 서린 (16GB(8Gx2)),"55,120"
트랜센드 DDR4-3200 CL22 (32GB),"91,610"
TeamGroup 노트북 DDR4-2666 CL19 ZEUS (16GB),"39,630"
ESSENCORE KLEVV DDR3-1866 CL9 NEO (4GB),"25,900"
OCPC DDR4-4000 CL19 X3TREME RGB Black 패키지 (16GB(8Gx2)),"111,080"
커세어 CORSAIR DDR5-5600 CL40 VENGEANCE RGB BLACK 패키지 (96GB(48Gx2)),"501,800"
TeamGroup T-Force DDR5-6400 CL40 Vulcan Red 패키지 (32GB(16Gx2)),"156,420"
v-color DDR5-5600 CL40 RGB 골든아미스 패키지 (32GB(16Gx2)),"536,000"
TeamGroup T-Force DDR5-6400 CL40 Vulcan Black 패키지 (32GB(16Gx2)),"156,420"
OLOy DDR5-6400 CL32 BLADE RGB MIRROR 패키지 (32GB(16Gx2)),"223,600"
TeamGroup T-Force DDR5-8000 CL38 Delta RGB 화이트 패키지 (32GB(16Gx2)),"425,590"
G.SKILL 노트북 DDR5-4800 CL40 RIPJAWS (16GB),"69,680"
삼성전자 DDR4 16G PC4-23400 ECC 서버용 메모리,"54,140"
