제품명,가격
인텔 코어i9-10세대 10900F 코멧레이크S (병행수입박스)(쿨러포함),"342,530"
인텔 코어i5-10세대 10400F (코멧레이크S)(정품박스)(쿨러포함),"140,810"
[중고] 인텔 코어i3-4세대 4170 하스웰 리프레시 벌크 A/S 1개월 가능,"7,880"
인텔 코어i3-9세대 9100 (커피레이크-R) (벌크),"101,390"
인텔 코어i3-9세대 9100 (커피레이크-R) (벌크+쿨러),"107,050"
인텔 코어i9-11세대 11900F (로켓레이크S)(벌크+동판쿨러),"253,510"
인텔 코어i5-7세대 7500 카비레이크 (병행수입벌크)(쿨러미포함),"67,420"
[중고] AMD 라이젠5-2세대 2600X (피나클 릿지) 쿨러 미포함,"59,900"
인텔 코어i3-10세대 10100 코멧레이크S (병행수입벌크)(쿨러미포함),"115,900"
인텔 코어i9-11세대 11900 (로켓레이크S)(벌크+동판쿨러),"426,530"
인텔 코어i5-8세대 8400 커피레이크 (병행수입벌크)(쿨러미포함),"86,460"
인텔 코어i3-10세대 10100 코멧레이크S (병행수입벌크+쿨러포함),"121,190"
인텔 코어i9-11세대 11900 (로켓레이크S)(벌크+쿨러),"425,450"
인텔 코어i5-8세대 8400 커피레이크 (병행수입벌크+쿨러포함),"97,790"
인텔 코어i9-11세대 11900F (로켓레이크S)(벌크),"247,270"
인텔 코어i5-9세대 9600K 커피레이크-R (병행수입벌크)(쿨러미포함),"126,610"
"인텔 코어i3-10세대 10100F (코멧레이크S)(병행수입벌크, 쿨러미포함)","93,670"
인텔 코어i9-11세대 11900F (로켓레이크S)(벌크+쿨러),"252,470"
[중고] 인텔 코어i7-4세대 4770 (하스웰) AS1개월,"61,250"
인텔 코어i5-9세대 9600K 커피레이크-R (병행수입벌크+쿨러포함),"140,500"
AMD 라이젠7-4세대 5700X (버미어) (벌크),"237,260"
인텔 코어i3-10세대 10100F (코멧레이크S)(병행수입벌크+쿨러),"98,820"
AMD 라이젠 스레드리퍼 PRO 3955WX (캐슬 픽-W)(정품),"1,399,900"
인텔 코어i9-11세대 11900 (로켓레이크S)(벌크),"420,030"
인텔 코어i5-9세대 9600KF 커피레이크-R (병행수입벌크)(쿨러미포함),"112,200"
인텔 코어i3-9세대 9100F 커피레이크-R (병행수입벌크)(쿨러미포함),"57,260"
인텔 코어i9-11세대 11900K (로켓레이크S)(벌크),"320,300"
인텔 코어i9-10세대 10900 (코멧레이크S)(병행수입 박스),"457,930"
인텔 코어i5-9세대 9500 커피레이크-R (병행수입벌크)(쿨러미포함),"141,020"
(인텔) 코어i3-1세대 540 클락데일 벌크 /CPU,"3,150"
인텔 코어i9-11세대 11900K (로켓레이크S) (벌크 쿨러),"325,870"
[중고]인텔 셀러론 G3930 (카비레이크) AS 1개월,"6,180"
AMD 라이젠 스레드리퍼 PRO 5965WX (샤갈 프로) (정품),"2,985,070"
인텔 코어i5-9세대 9500 커피레이크-R (병행수입벌크+쿨러포함),"165,570"
인텔 코어i9-13세대 13900F (랩터레이크) (벌크 + 쿨러),"777,720"
(인텔) 코어i3-1세대 550 클락데일 벌크 /CPU,"3,150"
인텔 코어i5-11세대 11400 (로켓레이크S)(벌크),"144,720"
인텔 코어i9-11세대 11900K (로켓레이크S)(벌크+동판쿨러),"327,430"
인텔 코어i5-9세대 9600KF 커피레이크-R (병행수입박스)(쿨러미포함),"278,320"
인텔 코어i3-10세대 10100 코멧레이크S (정품박스)(쿨러포함),"125,800"
인텔 코어i3-10세대 10100F 코멧레이크S (정품박스)(쿨러포함),"98,820"
인텔 코어X-시리즈 i9-9940X (스카이레이크) (정품),"1,757,700"
인텔 펜티엄 골드 G6405 (코멧레이크S 리프레시)(벌크),"88,400"
인텔 코어i9-11세대 11900KF (로켓레이크S)(벌크),"299,500"
인텔 코어i5-7세대 7500 카비레이크 (병행수입벌크+쿨러포함),"82,350"
인텔 코어i5-13세대 13400 (랩터레이크) (벌크 + 쿨러),"277,410"
인텔 코어X-시리즈 i9-10920X 캐스케이드레이크 (병행수입벌크)(쿨러미포함),"1,034,880"
인텔 코어i9-11세대 11900KF (로켓레이크S)(벌크+쿨러),"305,050"
인텔 코어i9-11세대 11900F (로켓레이크S)(병행수입박스),"268,330"
인텔 코어i5-9세대 9400 (커피레이크-R) 벌크,"138,960"
인텔 코어i5-9세대 9400 (커피레이크-R) 벌크+쿨러,"152,370"
인텔 코어i3-9세대 9100F 커피레이크-R (병행수입벌크+쿨러포함),"62,270"
(인텔) 코어i3-4세대 4130 하스웰 벌크 /CPU,"6,800"
인텔 코어 i5-9세대 9500F (커피레이크-R) 벌크,"134,170"
인텔 코어X-시리즈 i9-10940X (캐스케이드레이크) (벌크),"1,169,460"
(인텔) 코어i3-4세대 4330 하스웰 벌크 /CPU,"15,760"
인텔 코어i7-11세대 11700F (로켓레이크S)(벌크+동판쿨러),"265,190"
인텔 코어 i5-9세대 9500F (커피레이크-R) 벌크+쿨러,"139,370"
(인텔) 코어i3-4세대 4160 하스웰 리프레시 벌크 /CPU,"9,200"
인텔 코어i7-11세대 11700KF (로켓레이크S)(벌크+동판쿨러),"340,990"
AMD 라이젠 스레드리퍼 PRO 3955WX (캐슬 픽-W)(병행수입 박스),"953,450"
인텔 코어i5-8세대 8600K (커피레이크) (벌크),"100,870"
(인텔) 코어i3-6세대 6300 스카이레이크 벌크 /CPU,"25,220"
인텔 코어X-시리즈 i9-10900X 캐스케이드레이크 (병행수입벌크)(쿨러미포함),"794,500"
(인텔) 코어i3-4세대 4370 하스웰 리프레시 벌크 /CPU,"15,760"
인텔 코어i9-11세대 11900 (로켓레이크S)(병행수입박스),"411,240"
[중고] 인텔 코어i5-3세대 3550 (아이비브릿지)(중고) AS 1개월,"17,500"
(인텔) 코어i3-6세대 6320 스카이레이크 벌크 /CPU,"31,910"
인텔 코어i9-10세대 10900 코멧레이크S (병행수입벌크)(쿨러미포함),"433,700"
[중고] 인텔 코어i5-4세대 4430 (하스웰) AS1개월,"23,670"
[중고] 인텔 셀러론 G3900 스카이레이크 (병행수입벌크/AS 1개월/쿨러미포함),"6,250"
인텔 코어i5-9세대 9400 (커피레이크-R)(벌크 + 쿨러),"158,530"
(인텔) 코어i3-7세대 7300 카비레이크 벌크 /CPU,"33,970"
인텔 코어i9-10세대 10900 코멧레이크S (병행수입벌크+쿨러포함),"439,350"
[중고] 인텔 코어i5-4세대 4440 (하스웰) AS1개월,"23,670"
인텔 코어i5-9세대 9600 커피레이크-R (병행수입벌크+쿨러포함),"186,170"
AMD 라이젠5-5세대 7600 (라파엘) (벌크),"238,680"
인텔 코어i9-10세대 10900F 코멧레이크S (병행수입벌크)(쿨러미포함),"331,800"
[중고] 인텔 코어i3-6세대 6100 (벌크) 스카이레이크 AS1개월,"20,490"
[중고] 인텔 코어i5-4세대 4460 (하스웰 리프레시) AS1개월,"25,730"
(인텔) 코어i5-7세대 7600 카비레이크 벌크,"67,940"
인텔 코어i3-7세대 7100 카비레이크 (병행수입벌크)(쿨러미포함),"25,730"
인텔 코어i9-10세대 10900F 코멧레이크S (병행수입벌크+쿨러포함),"337,320"
[중고] 인텔 코어i5-4세대 4670 (하스웰) AS1개월,"26,760"
인텔 코어i3-7세대 7100 카비레이크 (병행수입벌크+쿨러포함),"32,840"
인텔 코어i9-10세대 10900 (코멧레이크S)(벌크+동판쿨러),"440,920"
(인텔) 코어i3-3세대 3240 아이비브릿지 벌크 /CPU,"6,300"
[중고] 인텔 코어i5-4세대 4690 (하스웰 리프레시) AS1개월,"27,790"
인텔 코어i5-8세대 8500 커피레이크 (병행수입벌크)(쿨러미포함),"90,580"
인텔 코어i3-8세대 8100 커피레이크 (병행수입벌크)(쿨러미포함),"54,040"
인텔 코어i9-10세대 10900F (코멧레이크S)(병행수입벌크+동판쿨러),"338,890"
인텔 코어i5-10세대 10400 (코멧레이크S) 벌크,"160,060"
AMD 라이젠9-5세대 7950X (라파엘) (정품),"775,200"
인텔 코어i5-8세대 8500 커피레이크 (병행수입벌크+쿨러포함),"98,820"
인텔 코어i3-8세대 8100 커피레이크 (병행수입벌크+쿨러포함),"63,820"
인텔 코어i3-6세대 6100 스카이레이크 (병행수입벌크)(쿨러미포함),"18,630"
인텔 코어i7-13세대 13700KF (랩터레이크)(벌크),"499,740"
인텔 코어i5-9세대 9600KF 커피레이크-R (병행수입벌크+쿨러포함),"151,310"
인텔 코어i3-6세대 6100 스카이레이크 (병행수입벌크+쿨러포함),"23,950"
인텔 코어i7-13세대 13700KF (랩터레이크)(벌크+쿨러RS1),"511,700"
인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (벌크+동판쿨러RM1),"283,400"
인텔 코어i7-13세대 13700KF (랩터레이크)(벌크+동판쿨러RM1),"513,260"
인텔 코어i5-8세대 8600 (커피레이크)(벌크),"97,790"
[중고] 인텔 코어i3-4세대 4130 (하스웰)(중고) AS 1개월,"6,730"
인텔 코어i3-3세대 3220 (중고) 아이비브릿지 벌크,"5,780"
[중고] 인텔 코어i3-4세대 4160 (하스웰 리프레시) (중고) AS 1개월,"7,720"
인텔 코어i5-13세대 13600K (랩터레이크)(벌크),"409,680"
인텔 코어i5-13세대 13600K (랩터레이크)(벌크+쿨러RS1),"420,700"
인텔 코어i5-13세대 13600KF (랩터레이크)(벌크),"365,000"
인텔 코어i9-10세대 10900K 코멧레이크S (병행수입벌크)(쿨러미포함),"471,100"
인텔 코어i5-13세대 13600KF (랩터레이크)(벌크+쿨러RS1),"374,300"
인텔 코어i5-9세대 9400F 커피레이크-R (병행수입벌크)(쿨러미포함),"85,430"
인텔 코어i9-10세대 10900K 코멧레이크S (병행수입벌크+쿨러포함),"476,830"
인텔 코어i5-13세대 13600KF (랩터레이크)(벌크+동판쿨러RM1),"375,900"
인텔 코어i5-9세대 9400F 커피레이크-R (병행수입벌크+쿨러포함),"93,020"
AMD 라이젠9-5세대 7950X (라파엘) (멀티팩(정품)),"769,180"
인텔 코어i9-10세대 10900K (코멧레이크S)(병행수입벌크+동판쿨러),"478,400"
AMD 라이젠7-4세대 5700X (버미어) (멀티팩(정품)),"237,260"
AMD 라이젠7-4세대 버미어 5800X (정품 멀티팩)(쿨러미포함),"319,700"
AMD 라이젠5-4세대 5500 (세잔) (정품),"133,810"
AMD 라이젠5-4세대 5600X (버미어) (멀티팩(프리즘팩)),"333,990"
AMD 라이젠5-3세대 4500 (르누아르-X) (멀티팩(정품)),"102,930"
인텔 코어i9-14세대 14900 (랩터레이크 리프레시) (벌크),"795,600"
인텔 코어i3-10세대 10105 (코멧레이크S 리프레시)(병행수입박스),"130,140"
인텔 제온 스케일러블 실버 4210R (캐스케이드레이크) (벌크),"601,130"
인텔 코어i9-14세대 14900 (랩터레이크 리프레시) (벌크+동판쿨러RH1),"815,300"
인텔 코어i3-10세대 10105F (코멧레이크S 리프레시)(벌크+동판쿨러),"79,380"
인텔 코어i9-14세대 14900F (랩터레이크 리프레시) (벌크),"765,400"
인텔 코어i9-14세대 14900KS (랩터레이크 리프레시) (벌크),"978,600"
인텔 코어i3-10세대 10105 (코멧레이크S 리프레시)(벌크+동판쿨러),"124,310"
인텔 코어i9-14세대 14900F (랩터레이크 리프레시) (벌크 동판쿨러RH1),"785,200"
인텔 코어i9-14세대 14900KS (랩터레이크 리프레시) (벌크+동판쿨러RH1),"998,400"
AMD 라이젠 스레드리퍼 PRO 5955WX (샤갈 프로) (정품),"1,595,470"
인텔 펜티엄 골드 G6400 코멧레이크S (정품박스)(쿨러포함),"93,980"
인텔 코어i7-14세대 14700 (랩터레이크 리프레시) (벌크),"540,200"
(인텔) 코어2쿼드 Q8200 요크필드 벌크 /CPU,"4,140"
인텔 코어i7-14세대 14700 (랩터레이크 리프레시) (벌크+쿨러RS1),"554,300"
인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (벌크),"269,480"
인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (벌크+쿨러RS1),"281,800"
코어i5-14세대 14400 (랩터레이크 리프레시) (벌크),"284,610"
인텔 코어i5-14세대 14400 (랩레이크 리프레시) (벌크+쿨러RS1),"294,600"
